,Date,Open,High,Low,Close,daily_return,cum_daily_return,H-L,C-O,10day MA,50day MA,200day MA,rsi,ma7,ma21,ema_26,ema_12,macd,bb_high,bb_low,ema,momentum
0,2000-01-03,1482.15,1592.9,1482.15,1592.2,0.0,1.0,110.75,110.04999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1592.2,1592.2,0.0,0.0,0.0,1592.2,1591.2
1,2000-01-04,1594.4,1641.95,1594.4,1638.7,0.02920487375957803,1.029204873759578,47.54999999999996,44.29999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1616.3442307692308,1617.3874999999994,1.043269230769056,0.0,0.0,1627.0749999999994,1637.7
2,2000-01-05,1634.55,1635.5,1555.05,1595.8,-0.02617928846036499,1.0022610224846125,80.45000000000005,-38.75,0.0,0.0,0.0,0.0,0.0,0.0,1608.9628881222275,1608.9618937644339,-0.0009943577933881897,0.0,0.0,1605.4230769230767,1594.8
3,2000-01-06,1595.8,1639.0,1595.8,1617.6,0.01366085975686171,1.0159527697525437,43.200000000000045,21.799999999999947,0.0,0.0,0.0,0.0,0.0,0.0,1611.3774471650945,1611.688606321839,0.3111591567442247,0.0,0.0,1613.6425,1616.6
4,2000-01-07,1616.6,1628.25,1597.2,1613.3,-0.002658259149357023,1.0132521040070344,31.049999999999947,-3.2999999999999545,0.0,0.0,0.0,0.0,0.0,0.0,1611.8232950972688,1612.126416225112,0.3031211278432693,0.0,0.0,1613.4132231404956,1612.3
5,2000-01-10,1615.65,1662.1,1614.95,1632.95,0.01218000371908512,1.025593518402211,47.14999999999986,17.299999999999955,0.0,0.0,0.0,0.0,0.0,0.0,1616.0548055887325,1617.187642607081,1.1328370183487095,0.0,0.0,1626.4556318681314,1631.95
6,2000-01-11,1633.25,1639.9,1548.25,1572.5,-0.03701889218898313,0.9876271825147596,91.65000000000008,-60.75,0.0,0.0,0.0,0.0,1609.0071428571425,0.0,1608.3088091969034,1607.2157515094418,-1.0930576874616236,0.0,0.0,1590.4687557182074,1571.5
7,2000-01-12,1572.3,1631.55,1571.7,1624.8,0.03325914149443565,1.0204748147217688,59.849999999999895,52.5,0.0,0.0,0.0,0.0,1613.6642857142856,0.0,1610.9659486593805,1610.8853131415328,-0.0806355178474405,0.0,0.0,1613.3597408536584,1623.8
8,2000-01-13,1627.85,1671.15,1613.65,1621.4,-0.0020925652387985267,1.0183394045974126,57.5,-6.449999999999817,0.0,0.0,0.0,0.0,1611.1928571428564,0.0,1612.512504126132,1612.9654924511144,0.452988324982698,0.0,0.0,1618.720185956712,1620.4
9,2000-01-14,1622.15,1627.4,1591.4,1622.75,0.0008326137905512174,1.0191872880291422,36.0,0.5999999999999089,0.0,0.0,0.0,0.0,1615.0428571428567,0.0,1613.9251789183734,1614.8196528289345,0.8944739105609187,0.0,0.0,1621.4067741498443,1621.75
